Sample1	Sample2	Distance	Species_2	Species_1	Comparison
Andreas165	AH.068	0.975603306	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.068	0.975603306	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.053	0.957414658	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.053	0.957414658	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.052	0.962517066	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.052	0.962517066	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.067	0.983283459	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.067	0.983283459	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.157	0.899827883	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.157	0.899827883	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.058	0.966764942	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.058	0.966764942	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.057	0.964340744	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.057	0.964340744	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.055	0.976093043	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.055	0.976093043	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.065	0.953206773	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas165	AH.065	0.953206773	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.067	0.993564862	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
